Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R100,10kΩ,R_0402_1005Metric-no-silkscreen-text,73.5375,-40.437516,-90.0,top
R101,10kΩ,R_0402_1005Metric-no-silkscreen-text,66.674956,-68.375579,90.0,top
R102,0Ω,R_0402_1005Metric-no-silkscreen-text,46.1375,-118.937516,90.0,top
R103,0Ω,R_0402_1005Metric-no-silkscreen-text,52.9175,-37.947517,-90.0,top
R12,0Ω,R_0402_1005Metric-no-silkscreen-text,74.9075,-49.037516,0.0,top
R14,0Ω,R_0402_1005Metric-no-silkscreen-text,34.4375,-79.537516,-90.0,top
R15,0Ω,R_0402_1005Metric-no-silkscreen-text,99.7375,-56.037516,180.0,top
R16,0Ω,R_0402_1005Metric-no-silkscreen-text,100.096052,-74.437516,180.0,top
R18,49.9Ω,R_0402_1005Metric-no-silkscreen-text,85.4875,-45.987532,-90.0,top
R19,100kΩ,R_0402_1005Metric-no-silkscreen-text,85.4875,-43.987532,-90.0,top
R2,1kΩ,R_0402_1005Metric-no-silkscreen-text,63.981,-68.3974,-90.0,top
R20,13.3kΩ,R_0402_1005Metric-no-silkscreen-text,86.4875,-43.987532,90.0,top
R21,20kΩ,R_0402_1005Metric-no-silkscreen-text,58.9375,-119.327517,90.0,top
R22,5.1kΩ,R_0402_1005Metric-no-silkscreen-text,56.2275,-123.737516,0.0,top
R23,1kΩ,R_0402_1005Metric-no-silkscreen-text,73.6375,-67.297516,-90.0,top
R24,49.9Ω,R_0402_1005Metric-no-silkscreen-text,85.3895,-64.890032,-90.0,top
R25,100kΩ,R_0402_1005Metric-no-silkscreen-text,85.3895,-62.890032,-90.0,top
R26,13.3kΩ,R_0402_1005Metric-no-silkscreen-text,86.3895,-62.890032,90.0,top
R27,0Ω,R_0402_1005Metric-no-silkscreen-text,57.9375,-123.827517,90.0,top
R29,10kΩ,R_0402_1005Metric-no-silkscreen-text,56.3375,-108.937516,0.0,top
R3,33Ω,R_0402_1005Metric-no-silkscreen-text,68.981,-51.7424,-90.0,top
R30,35.7kΩ,R_0402_1005Metric-no-silkscreen-text,55.9375,-117.037516,0.0,top
R31,10kΩ,R_0402_1005Metric-no-silkscreen-text,53.9375,-117.037516,0.0,top
R32,100kΩ,R_0402_1005Metric-no-silkscreen-text,55.9275,-115.837516,0.0,top
R33,10kΩ,R_0402_1005Metric-no-silkscreen-text,79.7375,-110.537516,180.0,top
R35,1MΩ,R_0402_1005Metric-no-silkscreen-text,77.6375,-104.937516,0.0,top
R36,1kΩ,R_0402_1005Metric-no-silkscreen-text,77.6325,-105.9925,180.0,top
R37,10kΩ,R_0402_1005Metric-no-silkscreen-text,36.7375,-65.137516,90.0,top
R38,4.7kΩ,R_0402_1005Metric-no-silkscreen-text,87.0995,-60.990032,180.0,top
R39,100kΩ,R_0402_1005Metric-no-silkscreen-text,35.5375,-78.537516,90.0,top
R4,1kΩ,R_0402_1005Metric-no-silkscreen-text,28.574988,-77.77354,-90.0,top
R40,4.7kΩ,R_0402_1005Metric-no-silkscreen-text,69.8125,-78.4125,180.0,top
R41,4.7kΩ,R_0402_1005Metric-no-silkscreen-text,69.8125,-77.4625,180.0,top
R42,4.7kΩ,R_0402_1005Metric-no-silkscreen-text,61.6875,-38.5875,180.0,top
R43,4.7kΩ,R_0402_1005Metric-no-silkscreen-text,61.6875,-39.5375,180.0,top
R44,4.7kΩ,R_0402_1005Metric-no-silkscreen-text,61.6875,-37.6375,0.0,top
R45,4.7kΩ,R_0402_1005Metric-no-silkscreen-text,69.8125,-79.3625,0.0,top
R46,1MΩ,R_0402_1005Metric-no-silkscreen-text,51.9875,-117.0875,0.0,top
R47,100kΩ,R_0402_1005Metric-no-silkscreen-text,81.9375,-108.237516,-90.0,top
R48,100Ω,R_0402_1005Metric-no-silkscreen-text,41.7975,-35.387516,-135.0,top
R49,100Ω,R_0402_1005Metric-no-silkscreen-text,46.7475,-35.457516,90.0,top
R5,1kΩ,R_0402_1005Metric-no-silkscreen-text,76.849631,-67.285385,-90.0,top
R50,100Ω,R_0402_1005Metric-no-silkscreen-text,36.3375,-118.5375,0.0,top
R51,100Ω,R_0402_1005Metric-no-silkscreen-text,34.057472,-115.168716,180.0,top
R52,0Ω,R_0402_1005Metric-no-silkscreen-text,91.2375,-84.637516,-90.0,top
R53,0Ω,R_0402_1005Metric-no-silkscreen-text,62.4375,-80.037516,90.0,top
R54,0Ω,R_0402_1005Metric-no-silkscreen-text,63.4375,-80.037516,90.0,top
R55,0Ω,R_0402_1005Metric-no-silkscreen-text,64.447501,-80.037516,90.0,top
R56,0Ω,R_0402_1005Metric-no-silkscreen-text,65.4375,-80.037516,90.0,top
R6,1kΩ,R_0402_1005Metric-no-silkscreen-text,54.9375,-51.707516,0.0,top
R61,0Ω,R_0402_1005Metric-no-silkscreen-text,48.7375,-85.7875,180.0,top
R62,0Ω,R_0402_1005Metric-no-silkscreen-text,47.6375,-133.817516,180.0,top
R63,33Ω,R_0402_1005Metric-no-silkscreen-text,31.2375,-129.937516,-90.0,top
R64,33Ω,R_0402_1005Metric-no-silkscreen-text,33.6375,-130.337516,180.0,top
R65,0Ω,R_0402_1005Metric-no-silkscreen-text,92.2375,-84.637516,90.0,top
